username,id,followers_num,repos_num,stargazers_sum,watchers_sum,forks_sum,avg_stars_num(per repo),avg_watchers_num(per repo),avg_forks_num(per repo)
shhr3y,59501752,29,30,28,28,1,0,0,0
mrshenli,16999635,30,30,6,6,3,0,0,0
shaoyf42,128945052,0,3,0,0,0,0,0,0
ykddd,9820294,1,2,0,0,0,0,0,0
udbhav1,6306726,9,13,10,10,2,0,0,0
suo,1617424,30,30,58,58,26,1,1,0
Valentine233,23010269,4,9,6,6,4,0,0,0
z71258847,29646934,6,10,0,0,0,0,0,0
huydhn,475357,12,23,48,48,8,2,2,0
H-Huang,14858254,30,30,2,2,2,0,0,0
jerryzh168,4958441,30,22,2,2,2,0,0,0
mrshenli,16999635,30,30,6,6,3,0,0,0
shaoyf42,128945052,0,3,0,0,0,0,0,0
ykddd,9820294,1,2,0,0,0,0,0,0
udbhav1,6306726,9,13,10,10,2,0,0,0
suo,1617424,30,30,58,58,26,1,1,0
Valentine233,23010269,4,9,6,6,4,0,0,0
z71258847,29646934,6,10,0,0,0,0,0,0
huydhn,475357,12,23,48,48,8,2,2,0
H-Huang,14858254,30,30,2,2,2,0,0,0
jerryzh168,4958441,30,22,2,2,2,0,0,0
